mode,seed,reward
baseline,42,-0.9714999999999998
baseline,123,-0.9195000000000002
baseline,456,-0.9489999999999996
baseline,789,-0.3649999999999999
baseline,999,-1.1679999999999993
feature,42,-0.8374999999999995
feature,123,-0.3259999999999998
feature,456,-2.9535000000000022
feature,789,-0.94
feature,999,-0.22549999999999984
anomaly,42,-0.2174999999999998
anomaly,123,-1.549499999999999
anomaly,456,-0.2779999999999999
anomaly,789,-1.8334999999999992
anomaly,999,-0.31649999999999995
full,42,-0.3309999999999999
full,123,-1.132
full,456,-0.7649999999999996
full,789,-0.7639999999999997
full,999,-3.9154999999999998
