nodes,epoch,reward,queue,waiting_time,throughput,policy_loss,value_loss
1,0,-10.0,50.0,75.0,1000,-13.018855094909668,102.69988250732422
1,10,-8.5,40.0,60.0,1100,-10.625449180603027,71.09577941894531
1,20,-7.0,30.0,45.0,1200,-8.093445777893066,49.1941032409668
1,30,-5.5,20.0,30.0,1300,-7.026960849761963,26.4080753326416
1,40,-4.0,9.999999999999998,14.999999999999996,1400,-4.767363548278809,10.130615234375
4,0,-10.0,50.0,75.0,1000,-11.685352325439453,107.26331329345703
4,10,-8.5,40.0,60.0,1100,-10.634121894836426,68.82893371582031
4,20,-7.0,30.0,45.0,1200,-7.907934665679932,39.6208381652832
4,30,-5.5,20.0,30.0,1300,-6.642457485198975,19.807254791259766
4,40,-4.0,9.999999999999998,14.999999999999996,1400,-5.0191240310668945,9.923505783081055
16,0,-10.0,50.0,75.0,1000,-10.84318733215332,106.66314697265625
16,10,-8.5,40.0,60.0,1100,-10.432750701904297,71.81871032714844
16,20,-7.0,30.0,45.0,1200,-8.546298027038574,44.69517517089844
16,30,-5.5,20.0,30.0,1300,-6.977707862854004,22.760154724121094
16,40,-4.0,9.999999999999998,14.999999999999996,1400,-5.067164897918701,8.309335708618164
