episode,reward,avg_reward,queue,delay,carbon,entropy,policy_loss,value_loss,learning_rate
1,-619.3340056193799,-619.3340056193799,9.547544,4.773772,1584.665823106047,1.385014820098877,0.4793616354465485,0.0,0.0003
2,-579.6240065099504,-599.4790060646651,0.0,0.0,1647.8144368509202,1.3825342059135437,0.47877990305423734,0.0,0.0003
3,-573.6236263381434,-590.8605461558245,14.736262,9.163729,1739.8160514456085,1.3816392540931701,0.49171397387981414,0.0,0.0003
4,-580.4677919379391,-588.2623576013532,10.515714,5.257857,1674.591885093426,1.3811196208000183,0.47911008894443513,0.0,0.0003
5,-604.2433554131164,-591.4585571637059,8.774958,4.387479,1603.8421790974187,1.3786010980606078,0.48147870004177096,0.0,0.0003
6,-576.8177690096804,-589.0184258047017,7.824484,0.3157158,1658.2626122655743,1.3721009612083435,0.4666392832994461,0.0,0.0003
7,-573.9315165005656,-586.863153046968,8.522467,4.9752192,1693.6883854801079,1.3684199094772338,0.4410283327102661,0.0,0.0003
8,-547.1193665993846,-581.89517974102,7.0313206,3.5156603,1787.9399833974087,1.3659799218177795,0.45389882624149325,0.0,0.0003
9,-527.3440380575549,-575.8339417761905,0.0,177.98007,1796.0246548449861,1.3599830389022827,0.5052894681692124,0.0,0.0003
10,-503.92064633989037,-568.6426122325605,9.863962,4.931981,1872.809449305598,1.345549750328064,0.480818173289299,0.0,0.0003
11,-550.655976904749,-567.0074635663958,0.0,13.590597,1807.178668807903,1.3439266443252564,0.49869345128536224,0.0,0.0003
12,-529.4997948208113,-563.8818245042638,0.0,15.605535,1842.5742491072265,1.348187518119812,0.4491177976131439,0.0,0.0003
13,-545.2780876396579,-562.4507678223711,53.01925,102.6418,1771.3580664599913,1.3486278772354126,0.49417364597320557,0.0,0.0003
14,-570.6949923752873,-563.0396410047222,5.514331,6.4195747,1791.25894268531,1.3511374831199645,0.5084791660308838,0.0,0.0003
15,-558.1098968968655,-562.7109913975318,0.0,0.0,1810.9644616490782,1.3617579340934753,0.4749596953392029,0.0,0.0003
16,-553.9427044083898,-562.1629734607104,25.252735,25.93676,1767.491232972561,1.3629464030265808,0.46948274672031404,0.0,0.0003
17,-580.7742290883017,-563.2577532035099,0.0,25.070288,1738.1820744914075,1.3542800068855285,0.4529669314622879,0.0,0.0003
18,-548.9169069141093,-562.4610395207654,28.108444,26.305954,1830.8703754438159,1.3521319150924682,0.46956453025341033,0.0,0.0003
19,-561.7602705373723,-562.4241569426921,0.0,3.8846016,1759.1442018834837,1.3439860701560975,0.46620207726955415,0.0,0.0003
20,-510.84233698720374,-559.8450659449177,0.0,16.504799,1953.2187011646442,1.3307286977767945,0.4962367832660675,0.0,0.0003
